	<wordnet_person_100007846>	rdfs:subClassOf	owl:Thing	
	<wordnet_person_100007846>	owl:disjointWith	<wordnet_organization_108008335>	
	<wordnet_person_100007846>	owl:disjointWith	<wordnet_building_102913152>	
	<wordnet_person_100007846>	owl:disjointWith	<yagoGeoEntity>	
	<wordnet_person_100007846>	owl:disjointWith	<wordnet_artifact_100021939>	
	<wordnet_person_100007846>	owl:disjointWith	<wordnet_abstraction_100002137>	
	<wordnet_person_100007846>	owl:disjointWith	<wordnet_physical_entity_100001930>	
	<wordnet_organization_108008335>	rdfs:subClassOf	owl:Thing	
	<wordnet_organization_108008335>	owl:disjointWith	<wordnet_person_100007846>	
	<wordnet_organization_108008335>	owl:disjointWith	<wordnet_building_102913152>	
	<wordnet_organization_108008335>	owl:disjointWith	<yagoGeoEntity>	
	<wordnet_organization_108008335>	owl:disjointWith	<wordnet_artifact_100021939>	
	<wordnet_organization_108008335>	owl:disjointWith	<wordnet_abstraction_100002137>	
	<wordnet_organization_108008335>	owl:disjointWith	<wordnet_physical_entity_100001930>	
	<wordnet_building_102913152>	rdfs:subClassOf	owl:Thing	
	<wordnet_building_102913152>	owl:disjointWith	<wordnet_person_100007846>	
	<wordnet_building_102913152>	owl:disjointWith	<wordnet_organization_108008335>	
	<wordnet_building_102913152>	owl:disjointWith	<yagoGeoEntity>	
	<wordnet_building_102913152>	owl:disjointWith	<wordnet_artifact_100021939>	
	<wordnet_building_102913152>	owl:disjointWith	<wordnet_abstraction_100002137>	
	<wordnet_building_102913152>	owl:disjointWith	<wordnet_physical_entity_100001930>	
	<yagoGeoEntity>	rdfs:subClassOf	owl:Thing	
	<yagoGeoEntity>	owl:disjointWith	<wordnet_person_100007846>	
	<yagoGeoEntity>	owl:disjointWith	<wordnet_organization_108008335>	
	<yagoGeoEntity>	owl:disjointWith	<wordnet_building_102913152>	
	<yagoGeoEntity>	owl:disjointWith	<wordnet_artifact_100021939>	
	<yagoGeoEntity>	owl:disjointWith	<wordnet_abstraction_100002137>	
	<yagoGeoEntity>	owl:disjointWith	<wordnet_physical_entity_100001930>	
	<wordnet_artifact_100021939>	rdfs:subClassOf	owl:Thing	
	<wordnet_artifact_100021939>	owl:disjointWith	<wordnet_person_100007846>	
	<wordnet_artifact_100021939>	owl:disjointWith	<wordnet_organization_108008335>	
	<wordnet_artifact_100021939>	owl:disjointWith	<wordnet_building_102913152>	
	<wordnet_artifact_100021939>	owl:disjointWith	<yagoGeoEntity>	
	<wordnet_artifact_100021939>	owl:disjointWith	<wordnet_abstraction_100002137>	
	<wordnet_artifact_100021939>	owl:disjointWith	<wordnet_physical_entity_100001930>	
	<wordnet_abstraction_100002137>	rdfs:subClassOf	owl:Thing	
	<wordnet_abstraction_100002137>	owl:disjointWith	<wordnet_person_100007846>	
	<wordnet_abstraction_100002137>	owl:disjointWith	<wordnet_organization_108008335>	
	<wordnet_abstraction_100002137>	owl:disjointWith	<wordnet_building_102913152>	
	<wordnet_abstraction_100002137>	owl:disjointWith	<yagoGeoEntity>	
	<wordnet_abstraction_100002137>	owl:disjointWith	<wordnet_artifact_100021939>	
	<wordnet_abstraction_100002137>	owl:disjointWith	<wordnet_physical_entity_100001930>	
	<wordnet_physical_entity_100001930>	rdfs:subClassOf	owl:Thing	
	<wordnet_physical_entity_100001930>	owl:disjointWith	<wordnet_person_100007846>	
	<wordnet_physical_entity_100001930>	owl:disjointWith	<wordnet_organization_108008335>	
	<wordnet_physical_entity_100001930>	owl:disjointWith	<wordnet_building_102913152>	
	<wordnet_physical_entity_100001930>	owl:disjointWith	<yagoGeoEntity>	
	<wordnet_physical_entity_100001930>	owl:disjointWith	<wordnet_artifact_100021939>	
	<wordnet_physical_entity_100001930>	owl:disjointWith	<wordnet_abstraction_100002137>	
	<wordnet_pass_106691083>	rdfs:subClassOf	<wordnet_abstraction_100002137>	
	<wordnet_sheik_110588357>	rdfs:subClassOf	<wordnet_person_100007846>	
	<wordnet_addendum_106399631>	rdfs:subClassOf	<wordnet_abstraction_100002137>	
	<wordnet_employer_110054657>	rdfs:subClassOf	<wordnet_person_100007846>	
	<wordnet_chine_107654538>	rdfs:subClassOf	<wordnet_physical_entity_100001930>	
	<wordnet_guest_of_honor_110151261>	rdfs:subClassOf	<wordnet_person_100007846>	
	<wordnet_wildcat_well_104584639>	rdfs:subClassOf	<yagoGeoEntity>	
	<wordnet_location_100027167>	rdfs:subClassOf	<yagoGeoEntity>	
	<wordnet_planned_community_108553887>	rdfs:subClassOf	<yagoGeoEntity>	
	<wordnet_epic_poem_106379721>	rdfs:subClassOf	<wordnet_abstraction_100002137>	
	<wordnet_flavin_114870924>	rdfs:subClassOf	<wordnet_abstraction_100002137>	
	<wordnet_lawn_108591592>	rdfs:subClassOf	<yagoGeoEntity>	
	<wordnet_cavalier_109902256>	rdfs:subClassOf	<wordnet_person_100007846>	
	<wordnet_computer_103082979>	rdfs:subClassOf	<wordnet_artifact_100021939>	
	<wordnet_quark_109401834>	rdfs:subClassOf	<wordnet_physical_entity_100001930>	
	<wordnet_monosaccharide_114954284>	rdfs:subClassOf	<wordnet_abstraction_100002137>	
	<wordnet_transportation_system_104473432>	rdfs:subClassOf	<yagoGeoEntity>	
	<wordnet_ratio_113819207>	rdfs:subClassOf	<wordnet_abstraction_100002137>	
	<wordnet_beam_111428379>	rdfs:subClassOf	<wordnet_physical_entity_100001930>	
	<wordnet_gin_107904395>	rdfs:subClassOf	<wordnet_abstraction_100002137>	
	<wordnet_watershed_108679369>	rdfs:subClassOf	<yagoGeoEntity>	
	<wordnet_oarsman_110368920>	rdfs:subClassOf	<wordnet_person_100007846>	
	<wordnet_reactor_104057846>	rdfs:subClassOf	<wordnet_artifact_100021939>	
	<wordnet_truss_bridge_104492749>	rdfs:subClassOf	<yagoGeoEntity>	
	<wordnet_stance_105082507>	rdfs:subClassOf	<wordnet_abstraction_100002137>	
	<wordnet_hide_114759275>	rdfs:subClassOf	<wordnet_abstraction_100002137>	
	<wordnet_circus_108189211>	rdfs:subClassOf	<wordnet_organization_108008335>	
	<wordnet_fireboat_103344393>	rdfs:subClassOf	<wordnet_artifact_100021939>	
	<wordnet_bookkeeper_109866115>	rdfs:subClassOf	<wordnet_person_100007846>	
	<wordnet_psychoactive_drug_104017137>	rdfs:subClassOf	<wordnet_physical_entity_100001930>	
	<wordnet_stop_consonant_107115914>	rdfs:subClassOf	<wordnet_abstraction_100002137>	
	<wordnet_serologist_110582032>	rdfs:subClassOf	<wordnet_person_100007846>	
	<wordnet_power_company_108186393>	rdfs:subClassOf	<wordnet_organization_108008335>	
	<wordnet_machine_gun_103701391>	rdfs:subClassOf	<wordnet_artifact_100021939>	
	<wordnet_diatom_101401106>	rdfs:subClassOf	<wordnet_physical_entity_100001930>	
	<wordnet_fire_107302836>	rdfs:subClassOf	<wordnet_abstraction_100002137>	
	<wordnet_baby_109827683>	rdfs:subClassOf	<wordnet_person_100007846>	
	<wordnet_array_107939382>	rdfs:subClassOf	<wordnet_abstraction_100002137>	
	<wordnet_cab_102930766>	rdfs:subClassOf	<wordnet_artifact_100021939>	
	<wordnet_slot_machine_104243941>	rdfs:subClassOf	<wordnet_artifact_100021939>	
	<wordnet_nasal_consonant_107119211>	rdfs:subClassOf	<wordnet_abstraction_100002137>	
	<wordnet_stylite_110667596>	rdfs:subClassOf	<wordnet_person_100007846>	
	<wordnet_mill-hand_110318293>	rdfs:subClassOf	<wordnet_person_100007846>	
	<wordnet_lullaby_107051851>	rdfs:subClassOf	<wordnet_abstraction_100002137>	
	<wordnet_hermit_crab_101986214>	rdfs:subClassOf	<wordnet_physical_entity_100001930>	
	<wordnet_think_tank_108478702>	rdfs:subClassOf	<wordnet_organization_108008335>	
	<wordnet_seigneury_113252293>	rdfs:subClassOf	<yagoGeoEntity>	
	<wordnet_invasion_107429976>	rdfs:subClassOf	<wordnet_abstraction_100002137>	
	<wordnet_programming_language_106898352>	rdfs:subClassOf	<wordnet_abstraction_100002137>	
	<wordnet_counselor_109968845>	rdfs:subClassOf	<wordnet_person_100007846>	
	<wordnet_waterway_109476331>	rdfs:subClassOf	<yagoGeoEntity>	
	<wordnet_red_wolf_102114712>	rdfs:subClassOf	<wordnet_physical_entity_100001930>	
	<wordnet_fjord_109281104>	rdfs:subClassOf	<yagoGeoEntity>	
	<wordnet_elimination_reaction_113473392>	rdfs:subClassOf	<wordnet_physical_entity_100001930>	
	<wordnet_catcher_109901143>	rdfs:subClassOf	<wordnet_person_100007846>	
	<wordnet_mascot_110297234>	rdfs:subClassOf	<wordnet_physical_entity_100001930>	
	<wordnet_sporting_dog_102098550>	rdfs:subClassOf	<wordnet_physical_entity_100001930>	
	<wordnet_chalice_103002948>	rdfs:subClassOf	<wordnet_artifact_100021939>	
	<wordnet_artillery_shell_102746595>	rdfs:subClassOf	<wordnet_artifact_100021939>	
	<wordnet_acetic_acid_114599168>	rdfs:subClassOf	<wordnet_abstraction_100002137>	
	<wordnet_hedge_fund_108071229>	rdfs:subClassOf	<wordnet_organization_108008335>	
	<wordnet_pier_103933529>	rdfs:subClassOf	<wordnet_artifact_100021939>	
	<wordnet_millerite_114681987>	rdfs:subClassOf	<wordnet_abstraction_100002137>	
	<wordnet_ethologist_110065911>	rdfs:subClassOf	<wordnet_person_100007846>	
	<wordnet_travel_100295701>	rdfs:subClassOf	<wordnet_abstraction_100002137>	
	<wordnet_vocabulary_106420678>	rdfs:subClassOf	<wordnet_artifact_100021939>	
	<wordnet_g_113648596>	rdfs:subClassOf	<wordnet_abstraction_100002137>	
	<wordnet_hall_of_residence_103479397>	rdfs:subClassOf	<wordnet_building_102913152>	
	<wordnet_air_marshal_109781171>	rdfs:subClassOf	<wordnet_person_100007846>	
	<wordnet_naval_academy_108279665>	rdfs:subClassOf	<wordnet_organization_108008335>	
	<wordnet_internet_103580615>	rdfs:subClassOf	<wordnet_artifact_100021939>	
	<wordnet_opening_100457890>	rdfs:subClassOf	<wordnet_abstraction_100002137>	
	<wordnet_lunatic_110276764>	rdfs:subClassOf	<wordnet_person_100007846>	
	<wordnet_skateboarder_110604380>	rdfs:subClassOf	<wordnet_person_100007846>	
	<wordnet_festival_115162388>	rdfs:subClassOf	<wordnet_abstraction_100002137>	
	<wordnet_diode_103202940>	rdfs:subClassOf	<wordnet_artifact_100021939>	
	<wordnet_pronghorn_102429456>	rdfs:subClassOf	<wordnet_physical_entity_100001930>	
	<wordnet_political_campaign_107472929>	rdfs:subClassOf	<wordnet_abstraction_100002137>	
	<wordnet_pub_crawl_100749105>	rdfs:subClassOf	<wordnet_abstraction_100002137>	
	<wordnet_bailiff_109833111>	rdfs:subClassOf	<wordnet_person_100007846>	
	<wordnet_efficiency_expert_110046717>	rdfs:subClassOf	<wordnet_person_100007846>	
	<wordnet_seminar_108327816>	rdfs:subClassOf	<wordnet_abstraction_100002137>	
	<wordnet_cabal_108241798>	rdfs:subClassOf	<wordnet_abstraction_100002137>	
