"dbpedia_uri";"yago_uri"
"http://dbpedia.org/ontology/FilmFestival";"http://dbpedia.org/class/yago/FilmFestival100517418"
"http://dbpedia.org/ontology/Fish";"http://dbpedia.org/class/yago/Fish102512053"
"http://dbpedia.org/ontology/Fungus";"http://dbpedia.org/class/yago/Fungus112992868"
"http://dbpedia.org/ontology/Game";"http://dbpedia.org/class/yago/Game100456199"
"http://dbpedia.org/ontology/GolfLeague";"http://dbpedia.org/class/yago/ProfessionalGolfTours"
"http://dbpedia.org/ontology/GolfPlayer";"http://dbpedia.org/class/yago/Golfer110136959"
"http://dbpedia.org/ontology/Governor";"http://dbpedia.org/class/yago/Governor110140314"
"http://dbpedia.org/ontology/GreenAlga";"http://dbpedia.org/class/yago/AlgaeGenera"
"http://dbpedia.org/ontology/HandballLeague";"http://dbpedia.org/class/yago/HandballLeagues"
"http://dbpedia.org/ontology/Hospital";"http://dbpedia.org/class/yago/Hospital103540595"
"http://dbpedia.org/ontology/Hotel";"http://dbpedia.org/class/yago/Hotel103542333"
"http://dbpedia.org/ontology/IceHockeyLeague";"http://dbpedia.org/class/yago/IceHockeyLeagues"
"http://dbpedia.org/ontology/InlineHockeyLeague";"http://dbpedia.org/class/yago/InlineHockeyLeagues"
"http://dbpedia.org/ontology/Insect";"http://dbpedia.org/class/yago/Insect102159955"
"http://dbpedia.org/ontology/Island";"http://dbpedia.org/class/yago/Island109316454"
"http://dbpedia.org/ontology/Journalist";"http://dbpedia.org/class/yago/Journalist110224578"
"http://dbpedia.org/ontology/Judge";"http://dbpedia.org/class/yago/Judge110225219"
"http://dbpedia.org/ontology/Lake";"http://dbpedia.org/class/yago/Lake109328904"
"http://dbpedia.org/ontology/Language";"http://dbpedia.org/class/yago/Language106282651"
"http://dbpedia.org/ontology/Legislature";"http://dbpedia.org/class/yago/Legislature108163273"
"http://dbpedia.org/ontology/Lighthouse";"http://dbpedia.org/class/yago/Beacon102814860"
"http://dbpedia.org/ontology/Locomotive";"http://dbpedia.org/class/yago/Locomotive103684823"
"http://dbpedia.org/ontology/LunarCrater";"http://dbpedia.org/class/yago/ImpactCratersOnTheMoon"
"http://dbpedia.org/ontology/Magazine";"http://dbpedia.org/class/yago/Magazine106595351"
"http://dbpedia.org/ontology/Mammal";"http://dbpedia.org/class/yago/Mammal101861778"
"http://dbpedia.org/ontology/Mayor";"http://dbpedia.org/class/yago/Mayor110303814"
"http://dbpedia.org/ontology/MeanOfTransportation";"http://dbpedia.org/class/yago/Conveyance103100490"
"http://dbpedia.org/ontology/MilitaryConflict";"http://dbpedia.org/class/yago/MilitaryAction100952963"
"http://dbpedia.org/ontology/MilitaryPerson";"http://dbpedia.org/class/yago/Serviceman110582746"
"http://dbpedia.org/ontology/MilitaryUnit";"http://dbpedia.org/class/yago/MilitaryUnit108198398"
"http://dbpedia.org/ontology/Model";"http://dbpedia.org/class/yago/Model110324560"
"http://dbpedia.org/ontology/Mollusca";"http://dbpedia.org/class/yago/Mollusk101940736"
"http://dbpedia.org/ontology/Moss";"http://dbpedia.org/class/yago/Moss111537506"
"http://dbpedia.org/ontology/Mountain";"http://dbpedia.org/class/yago/Mountain109359803"
"http://dbpedia.org/ontology/MountainRange";"http://dbpedia.org/class/yago/Range109403734"
"http://dbpedia.org/ontology/Muscle";"http://dbpedia.org/class/yago/ContractileOrgan105289601"
"http://dbpedia.org/ontology/Museum";"http://dbpedia.org/class/yago/Museum103800563"
"http://dbpedia.org/ontology/MusicFestival";"http://dbpedia.org/class/yago/Festival115162388"
"http://dbpedia.org/ontology/Musical";"http://dbpedia.org/class/yago/Musical107019172"
"http://dbpedia.org/ontology/MusicalArtist";"http://dbpedia.org/class/yago/Musician110340312"
"http://dbpedia.org/ontology/MusicalWork";"http://dbpedia.org/class/yago/MusicalComposition107037465"
"http://dbpedia.org/ontology/NascarDriver";"http://dbpedia.org/class/yago/NASCARDrivers"
"http://dbpedia.org/ontology/Nerve";"http://dbpedia.org/class/yago/FiberBundle105475681"
"http://dbpedia.org/ontology/Newspaper";"http://dbpedia.org/class/yago/Newspaper106267145"
"http://dbpedia.org/ontology/Non-ProfitOrganisation";"http://dbpedia.org/class/yago/Charity108406619"
"http://dbpedia.org/ontology/Organisation";"http://dbpedia.org/class/yago/Organization108008335"
"http://dbpedia.org/ontology/Park";"http://dbpedia.org/class/yago/Park108615149"
"http://dbpedia.org/ontology/Person";"http://dbpedia.org/class/yago/Person100007846"
"http://dbpedia.org/ontology/Philosopher";"http://dbpedia.org/class/yago/Philosopher110423589"
"http://dbpedia.org/ontology/Place";"http://dbpedia.org/class/yago/YagoGeoEntity"
"http://dbpedia.org/ontology/Planet";"http://dbpedia.org/class/yago/Planet109394007"
"http://dbpedia.org/ontology/Plant";"http://dbpedia.org/class/yago/Plant100017222"
"http://dbpedia.org/ontology/PlayboyPlaymate";"http://dbpedia.org/class/yago/Playmate110441037"
"http://dbpedia.org/ontology/Politician";"http://dbpedia.org/class/yago/Politician110451263"
"http://dbpedia.org/ontology/Pope";"http://dbpedia.org/class/yago/Pope110453533"
"http://dbpedia.org/ontology/PowerStation";"http://dbpedia.org/class/yago/PowerStation103996655"
"http://dbpedia.org/ontology/President";"http://dbpedia.org/class/yago/President110467179"
"http://dbpedia.org/ontology/ProtectedArea";"http://dbpedia.org/class/yago/Park108615149"
